t_index	term	df
1553	beta	8
1554	beth	1
1555	betrai	2
1556	betray	2
1557	betrisia	1
1558	better	119
1559	bevan	1
1560	beveneari	1
1561	bewild	1
1562	bhaba	2
1563	bhachau	4
1564	bhagat	1
1565	bhakta	1
1566	bharatiya	3
1567	bharpi	3
1568	bhaskar	5
1569	bhat	1
1570	bhatt	1
1571	bhavesh	1
1572	bhowmik	1
1573	bhug	1
1574	bhuj	33
1575	bia	1
1576	biafran	2
1577	biarritz	3
1578	bias	8
1579	bibl	4
1580	biblic	1
1581	bicker	3
1582	bicycl	5
1583	bid	50
1584	bidanora	1
1585	big	76
1586	bigger	8
1587	biggest	39
1588	bigot	1
1589	bihari	10
1590	bilater	8
1591	bilingu	1
1592	bill	6
1593	billboard	2
1594	billet	1
1595	billi	4
1596	billion	59
1597	billionair	9
1598	billow	13
1599	biltera	1
1600	bimal	2
1601	bin	87
1602	bind	5
1603	bindra	3
1604	bingaman	2
1605	bingo	1
1606	binocular	5
1607	bio	1
1608	biogeneticist	1
1609	biograph	3
1610	biographi	4
1611	biolog	4
1612	bion	1
1613	bipartisan	2
1614	bipartisanship	1
1615	bird	3
1616	birger	1
1617	birth	9
1618	birthdai	6
1619	birthmark	1
1620	birthplac	1
1621	biscuit	3
1622	bishop	2
1623	bit	46
1624	bite	2
1625	biter	1
1626	bitka	1
1627	bitten	1
1628	bitter	20
1629	bitterli	10
1630	bittersweet	2
1631	biw	1
1632	bizarr	10
1633	bjorn	1
1634	black	58
1635	blacken	4
1636	blackmail	5
1637	blackout	4
1638	blade	1
1639	blair	15
1640	blakemor	1
1641	blame	56
1642	blanchard	1
1643	blanco	7
1644	bland	1
1645	blanda	1
1646	blank	3
1647	blanket	35
1648	blankli	2
1649	blare	1
1650	blast	109
1651	blatant	2
1652	blaze	6
1653	bleach	1
1654	bleacher	1
1655	bleak	1
1656	bled	1
1657	bleed	2
1658	blemish	1
1659	blend	4
1660	bless	9
1661	blew	42
1662	blind	8
1663	blindli	5
1664	blink	3
1665	blister	2
1666	blitz	1
1667	blitzer	1
1668	blizzard	5
1669	bloat	4
1670	bloc	7
1671	block	83
1672	blockad	15
1673	blocker	1
1674	blocki	1
1675	blokosso	1
1676	blond	6
1677	blood	34
1678	bloodbath	2
1679	bloodi	8
1680	bloodiest	1
1681	bloodless	2
1682	bloodsh	9
1683	bloodstain	1
1684	bloomberg	1
1685	bloomer	1
1686	blous	1
1687	blow	25
1688	blown	11
1689	blowtorch	1
1690	blue	46
1691	blueprint	11
1692	bluf	5
1693	blunk	1
1694	blunt	2
1695	bluntli	2
1696	blur	2
1697	blurb	1
1698	blusteri	1
1699	blvd	1
1700	bnaibrith	1
1701	board	63
1702	boarder	5
1703	boardwalk	1
1704	boast	3
1705	boat	117
1706	boater	1
1707	boatmen	1
1708	bob	24
1709	bobbi	6
1710	bobic	1
1711	bodi	157
1712	bodien	1
1713	bodin	9
1714	bodon	1
1715	bodyguard	10
1716	boe	2
1717	bog	2
1718	boga	1
1719	bogg	1
1720	bogu	4
1721	bohdan	2
1722	boi	35
1723	boigni	6
1724	boil	1
1725	boister	1
1726	bojic	1
1727	bold	3
1728	boldli	1
1729	bolivia	1
1730	bolona	2
1731	bolster	12
1732	bolt	1
1733	bomb	259
1734	bombai	5
1735	bombard	2
1736	bombei	1
1737	bomber	57
1738	bombet	2
1739	bombmak	4
1740	bombshel	1
1741	bond	17
1742	bondjump	1
1743	bone	53
1744	bonecardi	1
1745	bonfir	3
1746	bonilla	1
1747	bonni	1
1748	bono	1
1749	bonu	1
1750	boo	3
1751	boobi	3
1752	book	26
1753	bookend	1
1754	boom	7
1755	boost	14
1756	booster	1
1757	boot	5
1758	booth	8
1759	bor	1
1760	border	53
1761	bore	3
1762	borg	1
1763	bori	7
1764	borisav	1
1765	borislav	3
1766	borisov	1
1767	borivoj	1
1768	bork	1
1769	borka	1
1770	born	47
1771	borneo	4
1772	borotra	1
1773	borrow	2
1774	borzon	1
1775	bosnia	16
